#   time            Cubic	   Hexagonal 
   0.0000000e+00   2.3180000e+02   9.7346667e+02
   1.0000000e-01   2.7020000e+02   1.2537333e+03
   2.0000000e-01   2.8193333e+02   1.4399333e+03
   3.0000000e-01   3.2973333e+02   1.5204667e+03
   4.0000000e-01   3.8206667e+02   1.7316667e+03
   5.0000000e-01   4.2440000e+02   1.7316000e+03
   6.0000000e-01   4.9706667e+02   1.8656000e+03
   7.0000000e-01   5.3886667e+02   1.8848000e+03
   8.0000000e-01   6.5580000e+02   2.0065333e+03
   9.0000000e-01   7.0660000e+02   2.0696667e+03
   1.0000000e+00   7.6773333e+02   2.0429333e+03
   1.1000000e+00   8.9126667e+02   2.1633333e+03
   1.2000000e+00   9.9166667e+02   2.1820667e+03
   1.3000000e+00   1.1124667e+03   2.2124000e+03
   1.4000000e+00   1.2212000e+03   2.2999333e+03
   1.5000000e+00   1.2762667e+03   2.2857333e+03
   1.6000000e+00   1.3989333e+03   2.2731333e+03
   1.7000000e+00   1.4690667e+03   2.3044000e+03
   1.8000000e+00   1.5302667e+03   2.3216667e+03
   1.9000000e+00   1.6014667e+03   2.3750667e+03
   2.0000000e+00   1.6529333e+03   2.4384667e+03
   2.1000000e+00   1.7170667e+03   2.5685333e+03
   2.2000000e+00   1.7678667e+03   2.6249333e+03
   2.3000000e+00   1.8013333e+03   2.7298667e+03
   2.4000000e+00   1.8726000e+03   2.7801333e+03
   2.5000000e+00   1.9147333e+03   2.7682000e+03
   2.6000000e+00   1.9586000e+03   2.8734667e+03
   2.7000000e+00   2.0124000e+03   2.9096000e+03
   2.8000000e+00   2.0501333e+03   3.0167333e+03
   2.9000000e+00   2.0986667e+03   3.0895333e+03
   3.0000000e+00   2.1446000e+03   3.1712667e+03
   3.1000000e+00   2.1792000e+03   3.1516667e+03
   3.2000000e+00   2.2170000e+03   3.2478000e+03
   3.3000000e+00   2.2556667e+03   3.2731333e+03
   3.4000000e+00   2.3183333e+03   3.3487333e+03
   3.5000000e+00   2.3362667e+03   3.4627333e+03
   3.6000000e+00   2.3862000e+03   3.5138000e+03
   3.7000000e+00   2.4107333e+03   3.5890000e+03
   3.8000000e+00   2.4744667e+03   3.7112667e+03
   3.9000000e+00   2.4934000e+03   3.7240667e+03
   4.0000000e+00   2.5005333e+03   3.7146000e+03
   4.1000000e+00   2.5266000e+03   3.7887333e+03
   4.2000000e+00   2.5334667e+03   3.8792000e+03
   4.3000000e+00   2.5526000e+03   3.8726667e+03
   4.4000000e+00   2.6110667e+03   3.9648000e+03
   4.5000000e+00   2.6406667e+03   4.0105333e+03
   4.6000000e+00   2.6834667e+03   4.1080000e+03
   4.7000000e+00   2.7168000e+03   4.0878000e+03
   4.8000000e+00   2.7356667e+03   4.2381333e+03
   4.9000000e+00   2.7674000e+03   4.3155333e+03
   5.0000000e+00   2.7778667e+03   4.3310667e+03
   5.1000000e+00   2.7956667e+03   4.4223333e+03
   5.2000000e+00   2.8462667e+03   4.5556667e+03
   5.3000000e+00   2.8478000e+03   4.5802667e+03
   5.4000000e+00   2.8652000e+03   4.6856000e+03
   5.5000000e+00   2.8952000e+03   4.7444667e+03
   5.6000000e+00   2.9182000e+03   4.8262000e+03
   5.7000000e+00   2.9244667e+03   4.8200000e+03
