#   time            Cubic	   Hexagonal 
   1.0000000e-01   1.6966667e+03   9.4373333e+02
   2.0000000e-01   2.0042667e+03   1.1154667e+03
   3.0000000e-01   2.3062667e+03   1.2026000e+03
   4.0000000e-01   2.6841333e+03   1.2570667e+03
   5.0000000e-01   2.9662000e+03   1.3135333e+03
   6.0000000e-01   3.2215333e+03   1.3381333e+03
   7.0000000e-01   3.5528000e+03   1.3960667e+03
   8.0000000e-01   4.0015333e+03   1.4439333e+03
   9.0000000e-01   4.4634000e+03   1.5100000e+03
   1.0000000e+00   5.0094667e+03   1.6164667e+03
   1.1000000e+00   5.6483333e+03   1.7198000e+03
   1.2000000e+00   6.3244667e+03   1.7928667e+03
   1.3000000e+00   7.1088000e+03   1.8690667e+03
   1.4000000e+00   7.9316000e+03   1.9391333e+03
   1.5000000e+00   8.5970000e+03   1.9734000e+03
   1.6000000e+00   9.3754000e+03   2.0228000e+03
   1.7000000e+00   1.0082800e+04   2.0408000e+03
   1.8000000e+00   1.0607067e+04   2.0817333e+03
   1.9000000e+00   1.1170600e+04   2.0868667e+03
   2.0000000e+00   1.1566333e+04   2.0862667e+03
   2.1000000e+00   1.1873600e+04   2.0744000e+03
   2.2000000e+00   1.2052067e+04   2.0746000e+03
   2.3000000e+00   1.2167467e+04   2.0695333e+03
   2.4000000e+00   1.2217067e+04   2.0866667e+03
   2.5000000e+00   1.2312867e+04   2.1047333e+03
   2.6000000e+00   1.2309533e+04   2.0635333e+03
   2.7000000e+00   1.2380933e+04   2.0926667e+03
   2.8000000e+00   1.2387333e+04   2.1097333e+03
   2.9000000e+00   1.2399467e+04   2.1158000e+03
   3.0000000e+00   1.2435267e+04   2.1028667e+03
   3.1000000e+00   1.2361200e+04   2.1030667e+03
   3.2000000e+00   1.2390600e+04   2.1074000e+03
   3.3000000e+00   1.2420467e+04   2.0765333e+03
   3.4000000e+00   1.2441533e+04   2.0946000e+03
   3.5000000e+00   1.2414533e+04   2.0798000e+03
   3.6000000e+00   1.2424867e+04   2.0823333e+03
   3.7000000e+00   1.2482733e+04   2.0764667e+03
   3.8000000e+00   1.2452400e+04   2.1000000e+03
   3.9000000e+00   1.2483733e+04   2.0982000e+03
   4.0000000e+00   1.2472000e+04   2.1018000e+03
   4.1000000e+00   1.2488533e+04   2.1040000e+03
   4.2000000e+00   1.2466533e+04   2.0925333e+03
   4.3000000e+00   1.2452867e+04   2.0778667e+03
   4.4000000e+00   1.2465400e+04   2.1328667e+03
   4.5000000e+00   1.2449200e+04   2.1166667e+03
   4.6000000e+00   1.2416733e+04   2.1030000e+03
   4.7000000e+00   1.2426867e+04   2.1258667e+03
   4.8000000e+00   1.2421667e+04   2.0870667e+03
   4.9000000e+00   1.2432000e+04   2.1086667e+03
   5.0000000e+00   1.2478267e+04   2.0951333e+03
   5.1000000e+00   1.2493933e+04   2.0850000e+03
   5.2000000e+00   1.2522533e+04   2.0786000e+03
   5.3000000e+00   1.2538600e+04   2.0696000e+03
   5.4000000e+00   1.2557067e+04   2.0807333e+03
   5.5000000e+00   1.2545133e+04   2.0782667e+03
   5.6000000e+00   1.2540267e+04   2.0946667e+03
   5.7000000e+00   1.2533400e+04   2.1112667e+03
   5.8000000e+00   1.2527467e+04   2.0833333e+03
   5.9000000e+00   1.2501800e+04   2.0943333e+03
   6.0000000e+00   1.2460133e+04   2.0897333e+03
   6.1000000e+00   1.2447267e+04   2.1104667e+03
   6.2000000e+00   1.2462333e+04   2.1139333e+03
   6.3000000e+00   1.2462667e+04   2.0924000e+03
   6.4000000e+00   1.2428733e+04   2.0990000e+03
   6.5000000e+00   1.2449400e+04   2.0850667e+03
   6.6000000e+00   1.2449933e+04   2.1158667e+03
   6.7000000e+00   1.2455867e+04   2.0963333e+03
